,team,balbezit,Top10
722,AFC Bournemouth,53,overig
723,Tottenham Hotspur,47,top10
724,West Ham United,56,top10
725,Southampton,44,overig
726,Wolverhampton Wanderers,39,top10
727,Fulham,61,overig
728,Cardiff City,39,overig
729,Crystal Palace,61,overig
730,Newcastle United,30,overig
731,Liverpool,70,top10
732,Chelsea,58,top10
733,Watford,42,overig
734,Huddersfield Town,35,overig
735,Manchester United,65,top10
736,Arsenal,70,top10
737,Brighton & Hove Albion,30,overig
738,Manchester City,61,top10
739,Leicester City,39,top10
740,Brighton & Hove Albion,23,overig
741,Manchester City,77,top10
742,Burnley,39,overig
743,Arsenal,61,top10
744,Crystal Palace,45,overig
745,AFC Bournemouth,55,overig
746,Fulham,68,overig
747,Newcastle United,32,overig
748,Leicester City,46,top10
749,Chelsea,54,top10
750,Liverpool,59,top10
751,Wolverhampton Wanderers,41,top10
752,Manchester United,73,top10
753,Cardiff City,27,overig
754,Southampton,53,overig
755,Huddersfield Town,47,overig
756,Tottenham Hotspur,55,top10
757,Everton,45,top10
758,Watford,48,overig
759,West Ham United,52,top10
