,Naam,Leeftijd,Positie,Minuten gespeeld,Aantal gespeeld,Doelpunten,Assists,clean sheets,tegendoelpunten per 90 min,Doelpunten betrokken,Gele kaarten,Rode kaarten,minuten per kaart
70,Ben Chilwell,25,Defender,3240,36,0,4,10,1.08,0.11,4,0,810
71,Ben Davies,28,Defender,1839,27,0,0,10,1.17,0.0,2,0,920
79,Benjamin Mendy,27,Defender,900,10,0,5,4,0.6,0.5,1,0,900
81,Bernard Anício Caldeira Duarte,29,Midfielder,2128,34,1,3,14,0.8,0.17,5,0,426
83,Bernardo Silva,27,Midfielder,2853,36,7,7,18,0.69,0.44,3,0,951
84,Bernd Leno,29,Goalkeeper,2835,32,0,0,7,1.24,0.0,0,0,0
90,Caglar Söyüncü,25,Defender,371,6,0,0,2,0.73,0.0,1,0,371
91,Callum Hudson-Odoi,21,Midfielder,391,10,0,1,3,1.15,0.23,0,0,0
98,Carl Jenkinson,29,Defender,166,3,0,0,0,1.08,0.0,0,0,0
99,Carlos Sánchez,35,Midfielder,240,7,0,0,2,0.75,0.0,0,0,0
101,Cenk Tosun,30,Forward,1050,25,3,3,7,1.37,0.51,3,0,350
102,Cesar Azpilicueta,32,Defender,3403,38,1,5,16,1.0,0.16,4,0,851
103,Cesc Fabregas,34,Midfielder,175,6,0,0,3,1.03,0.0,1,0,175
110,Chris Smalling,32,Defender,2128,24,1,0,4,1.44,0.04,1,0,2128
114,Christian Eriksen,29,Midfielder,2772,35,8,12,10,1.1,0.65,3,0,924
115,Christian Fuchs,35,Defender,206,3,0,0,0,1.75,0.0,0,0,0
122,Conor Coady,28,Midfielder,3420,38,0,0,9,1.13,0.0,5,0,684
131,Daniel Amartey,27,Midfielder,640,9,0,0,2,1.27,0.0,2,0,320
132,Daniel Sturridge,32,Forward,496,18,2,1,10,0.54,0.54,1,0,496
135,Danilo,30,Defender,806,11,1,0,5,0.78,0.11,1,0,806
137,Danny Rose,31,Defender,1806,26,0,3,10,0.6,0.15,5,0,361
138,Danny Simpson,35,Defender,291,6,0,0,3,1.24,0.0,0,0,0
141,Danny Welbeck,31,Forward,147,8,1,1,2,1.22,1.22,0,0,0
145,David de Gea,31,Goalkeeper,3420,38,0,0,7,1.34,0.0,1,0,3420
147,David Luiz,34,Defender,3239,36,3,2,16,0.97,0.14,3,0,1080
148,David Silva,36,Midfielder,2411,33,6,8,17,0.52,0.52,3,0,804
149,Davide Zappacosta,29,Defender,125,4,0,0,3,0.0,0.0,0,0,0
150,Davinson Sánchez Mina,25,Defender,1943,23,1,1,6,0.97,0.09,2,0,972
153,Declan Rice,23,Midfielder,3005,34,2,0,6,1.26,0.06,4,0,751
154,Dejan Lovren,32,Defender,985,13,1,0,6,0.64,0.09,1,0,985
155,Dele Alli,25,Midfielder,1827,25,5,3,7,0.84,0.39,4,0,457
156,Demarai Gray,25,Midfielder,1992,34,4,1,8,1.17,0.23,2,0,996
161,Diogo José Teixeira da Silva,25,Midfielder,2371,33,9,5,9,1.1,0.53,11,0,216
162,Divock Origi,26,Forward,366,12,3,1,7,0.49,0.98,0,0,0
164,Dominic Calvert-Lewin,24,Forward,1774,35,6,2,13,1.22,0.41,3,0,591
167,Eden Hazard,31,Midfielder,2926,37,16,15,15,1.05,0.95,2,0,1463
168,Ederson,28,Goalkeeper,3420,38,0,1,20,0.61,0.03,2,0,1710
172,Emerson Palmieri dos Santos,27,Defender,660,10,0,0,3,1.36,0.0,0,0,0
174,Eric Bertrand Bailly,27,Defender,637,12,0,0,3,1.7,0.0,1,1,319
175,Eric Dier,27,Midfielder,1510,20,3,0,6,0.95,0.18,4,0,378
177,Erik Lamela,29,Midfielder,971,19,4,2,5,1.02,0.56,2,0,486
180,Fabián Cornelio Balbuena González,30,Defender,2014,23,1,0,5,1.21,0.04,2,0,1007
181,Fabian Delph,32,Midfielder,725,11,0,1,4,1.12,0.12,2,1,242
183,Fabinho,28,Midfielder,2013,28,1,2,15,0.58,0.13,6,0,336
185,Faustino Marcos Alberto Rojo,31,Defender,211,5,0,0,0,1.71,0.0,2,0,106
187,Felipe Anderson Pereira Gomes,28,Midfielder,3054,36,9,4,6,1.27,0.38,3,0,1018
188,Fernando Llorente Torres,36,Forward,683,20,1,4,7,1.05,0.66,2,0,342
189,Fernando Luiz Rosa,36,Midfielder,2381,29,1,3,16,0.57,0.15,5,0,476
198,Frederico Rodrigues Santos,28,Midfielder,1045,17,1,1,0,1.64,0.17,2,0,523
199,Gabriel Jesus,24,Forward,1019,29,7,3,16,0.97,0.88,1,0,1019
205,Georginio Wijnaldum,31,Midfielder,2735,35,3,0,21,0.49,0.1,3,0,912
208,Gonzalo Higuain,34,Forward,1092,14,5,0,5,1.24,0.41,0,0,0
209,Grady Diangana,23,Midfielder,604,17,0,1,2,1.64,0.15,0,0,0
210,Granit Xhaka,29,Midfielder,2502,29,4,2,7,1.26,0.22,10,0,250
212,Gylfi Sigurdsson,32,Midfielder,3134,38,13,6,14,1.15,0.55,3,0,1045
213,Hamza Choudhury,24,Midfielder,596,9,0,0,4,0.6,0.0,0,0,0
215,Harry Kane,28,Forward,2427,28,17,4,10,1.04,0.78,5,0,485
216,Harry Maguire,28,Defender,2599,31,3,0,7,1.25,0.1,7,1,325
217,Harry Winks,25,Midfielder,1591,26,1,0,10,0.91,0.06,4,0,398
218,Harvey Lewis Barnes,24,Midfielder,1007,16,1,2,3,1.43,0.27,0,0,0
220,Hector Bellerin,26,Defender,1535,19,0,5,4,1.17,0.29,3,0,512
221,Hélder Wander Sousa Azevedo Costa,28,Midfielder,1345,25,1,2,5,1.2,0.2,3,0,448
222,Henrikh Mkhitaryan,32,Midfielder,1643,25,6,4,4,1.37,0.55,1,0,1643
223,Heung-Min Son,29,Forward,2048,31,12,6,11,0.88,0.79,3,1,512
225,Hugo Lloris,35,Goalkeeper,2970,33,0,0,12,0.91,0.0,0,0,0
227,Idrissa Gana Gueye,32,Midfielder,2825,33,0,2,13,0.92,0.06,6,0,471
228,İlkay Gündoğan,31,Midfielder,2135,31,6,3,15,0.63,0.38,3,0,712
232,Issa Diop,25,Defender,2970,33,1,0,7,1.15,0.03,4,0,743
233,Ivan Ricardo Neves Abreu Cavaleiro,28,Forward,683,23,3,1,5,1.32,0.53,1,0,683
